,Country,Number of recipe,,,,,
1,America,35162,,,,,
2,Asia,17,,,,,
3,Austria,21,,,,,
4,Bangladesh,4,,,,,
5,Belgium,11,,,,,
6,Canada,774,,,,,
7,Caribbean,183,,,,,
8,China,216,,,,,
9,East Africa,11,,,,,
10,East Asia,951,,,,,
11,Eastern Europe,235,,,,,
12,France,268,,,,,
13,Germany,237,,,,,
14,India,324,,,,,
15,Indonesia,12,,,,,
16,Iran,21,,,,,
17,Israel,9,,,,,
18,Italy,1535,,,,,
19,Japan,184,,,,,
20,Korea,799,,,,,
21,Lebanon,31,,,,,
22,Malaysia,18,,,,,
23,Mexico,1768,,,,,
24,Netherlands,32,,,,,
25,North Africa,60,,,,,
26,Pakistan,19,,,,,
27,Philippines,43,,,,,
28,Portugal,50,,,,,
29,Scandinavia,158,,,,,
30,South Africa,16,,,,,
31,South America,103,,,,,
32,Spain,75,,,,,
33,Switzerland,20,,,,,
34,Thailand,125,,,,,
35,Turkey,16,,,,,
36,UK & Ireland,282,,,,,
37,Vietnam,30,,,,,
38,West African,13,,,,,
39,Western,450,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
