cocoa,cream,egg,milk,bread,,,,,,,,,,,,,,,,,,,,
okra,onion,cayenne,chicken_broth,tabasco_pepper,scallion,celery,smoke,vegetable_oil,chicken,rice,pork_sausage,oyster,shrimp,lemon_peel,,,,,,,,,,
green_bell_pepper,wheat,onion,black_pepper,parsley,onion,vinegar,rice,carrot,crab,vegetable_oil,bay,tamarind,bread,bread,,,,,,,,,,
butter,cane_molasses,beef,onion,cayenne,pecan,pineapple,vegetable_oil,chicken,rice,bell_pepper,oregano,chicken,butter,cream_cheese,,,,,,,,,,
tomato,bourbon_whiskey,pepper,lemon_juice,thyme,avocado,vegetable_oil,cayenne,shrimp,garlic,bread,wine,tabasco_pepper,vegetable,vegetable_oil,,,,,,,,,,
turkey,,coconut,starch,vanilla,chicken_broth,shrimp,cream,egg,milk,pork_sausage,macaroni,gelatin,garlic,broccoli,,,,,,,,,,
cane_molasses,pepper,,,,vinegar,parsley,bread,bell_pepper,egg,cream,tomato,pork_sausage,pecan,mint,,,,,,,,,,
coriander,olive_oil,green_bell_pepper,mustard,onion,tabasco_pepper,black_pepper,garlic,pepper,watercress,tamarind,black_pepper,blue_cheese,chicory,turmeric,,,,,,,,,,
vinegar,cheese,cane_molasses,cayenne,corn,cayenne,scallion,white_wine,celery,ginger,bay,chicken_broth,vegetable_oil,rice,pea,,,,,,,,,,
peanut_oil,ginger,okra,marjoram,chicken_broth,corn,sage,chicken,oregano,mustard,mushroom,garlic,turmeric,bell_pepper,star_anise,pork_sausage,wine,,,,,,,,
cilantro,pork,lovage,thyme,mustard,egg,fennel,crab,black_pepper,bell_pepper,wine,bell_pepper,cabbage,chicken,scallion,,,,,,,,,,
shallot,fenugreek,oregano,green_bell_pepper,cilantro,chicken,bread,scallion,cumin,vegetable_oil,horseradish,butter,cane_molasses,olive_oil,coconut,,,,,,,,,,
pepper,soy_sauce,thyme,tamarind,fish,fish,cayenne,bell_pepper,scallop,lettuce,cilantro,mussel,white_wine,lime,cabbage,cream,cinnamon,,,,,,,,
kale,beef,wheat,corn_grit,beef,salmon,soy_sauce,tabasco_pepper,mint,lemongrass,basil,turmeric,mint,lemongrass,butter,butter,vinegar,lovage,thyme,onion,bay,cinnamon,,,
lime_juice,cilantro,ginger,garlic,smoke,lemon_peel,turmeric,shrimp,tomato,basil,chicken,basil,soy_sauce,mint,egg,,,,,,,,,,
papaya,peanut,shallot,vinegar,bay,lime_juice,cumin,cabbage,seed,cucumber,peanut,rice,coconut,turmeric,thai_pepper,,,,,,,,,,
